"Server Name","Service Name","Status"
"TRVNWTSTPSAN01.namindia.com","AJRouter","Stopped"
"TRVNWTSTPSAN01.namindia.com","ALG","Stopped"
"TRVNWTSTPSAN01.namindia.com","AmazonSSMAgent","Running"
"TRVNWTSTPSAN01.namindia.com","AppIDSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","Appinfo","Running"
"TRVNWTSTPSAN01.namindia.com","AppMgmt","Stopped"
"TRVNWTSTPSAN01.namindia.com","AppReadiness","Stopped"
"TRVNWTSTPSAN01.namindia.com","AppVClient","Stopped"
"TRVNWTSTPSAN01.namindia.com","AppXSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","AudioEndpointBuilder","Stopped"
"TRVNWTSTPSAN01.namindia.com","Audiosrv","Stopped"
"TRVNWTSTPSAN01.namindia.com","AxInstSV","Stopped"
"TRVNWTSTPSAN01.namindia.com","BFE","Running"
"TRVNWTSTPSAN01.namindia.com","BITS","Stopped"
"TRVNWTSTPSAN01.namindia.com","BrokerInfrastructure","Running"
"TRVNWTSTPSAN01.namindia.com","BTAGService","Stopped"
"TRVNWTSTPSAN01.namindia.com","BthAvctpSvc","Running"
"TRVNWTSTPSAN01.namindia.com","bthserv","Stopped"
"TRVNWTSTPSAN01.namindia.com","camsvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","CaptureService_106b6b4a","Stopped"
"TRVNWTSTPSAN01.namindia.com","CaptureService_11a7d74a","Stopped"
"TRVNWTSTPSAN01.namindia.com","CaptureService_249554","Stopped"
"TRVNWTSTPSAN01.namindia.com","cbdhsvc_106b6b4a","Stopped"
"TRVNWTSTPSAN01.namindia.com","cbdhsvc_11a7d74a","Stopped"
"TRVNWTSTPSAN01.namindia.com","cbdhsvc_249554","Stopped"
"TRVNWTSTPSAN01.namindia.com","CDPSvc","Running"
"TRVNWTSTPSAN01.namindia.com","CDPUserSvc_106b6b4a","Running"
"TRVNWTSTPSAN01.namindia.com","CDPUserSvc_11a7d74a","Running"
"TRVNWTSTPSAN01.namindia.com","CDPUserSvc_249554","Running"
"TRVNWTSTPSAN01.namindia.com","CertPropSvc","Running"
"TRVNWTSTPSAN01.namindia.com","ClipSVC","Stopped"
"TRVNWTSTPSAN01.namindia.com","COMSysApp","Stopped"
"TRVNWTSTPSAN01.namindia.com","ConsentUxUserSvc_106b6b4a","Stopped"
"TRVNWTSTPSAN01.namindia.com","ConsentUxUserSvc_11a7d74a","Stopped"
"TRVNWTSTPSAN01.namindia.com","ConsentUxUserSvc_249554","Stopped"
"TRVNWTSTPSAN01.namindia.com","CoreMessagingRegistrar","Running"
"TRVNWTSTPSAN01.namindia.com","CryptSvc","Running"
"TRVNWTSTPSAN01.namindia.com","CscService","Stopped"
"TRVNWTSTPSAN01.namindia.com","DcomLaunch","Running"
"TRVNWTSTPSAN01.namindia.com","defragsvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","DeviceAssociationService","Stopped"
"TRVNWTSTPSAN01.namindia.com","DeviceInstall","Stopped"
"TRVNWTSTPSAN01.namindia.com","DevicePickerUserSvc_106b6b4a","Stopped"
"TRVNWTSTPSAN01.namindia.com","DevicePickerUserSvc_11a7d74a","Stopped"
"TRVNWTSTPSAN01.namindia.com","DevicePickerUserSvc_249554","Stopped"
"TRVNWTSTPSAN01.namindia.com","DevicesFlowUserSvc_106b6b4a","Stopped"
"TRVNWTSTPSAN01.namindia.com","DevicesFlowUserSvc_11a7d74a","Stopped"
"TRVNWTSTPSAN01.namindia.com","DevicesFlowUserSvc_249554","Stopped"
"TRVNWTSTPSAN01.namindia.com","DevQueryBroker","Stopped"
"TRVNWTSTPSAN01.namindia.com","Dhcp","Running"
"TRVNWTSTPSAN01.namindia.com","diagnosticshub.standardcollector.service","Stopped"
"TRVNWTSTPSAN01.namindia.com","DiagTrack","Running"
"TRVNWTSTPSAN01.namindia.com","DmEnrollmentSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","dmwappushservice","Stopped"
"TRVNWTSTPSAN01.namindia.com","Dnscache","Running"
"TRVNWTSTPSAN01.namindia.com","DoSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","dot3svc","Stopped"
"TRVNWTSTPSAN01.namindia.com","DPS","Running"
"TRVNWTSTPSAN01.namindia.com","DsmSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","DsSvc","Running"
"TRVNWTSTPSAN01.namindia.com","Eaphost","Stopped"
"TRVNWTSTPSAN01.namindia.com","EFS","Stopped"
"TRVNWTSTPSAN01.namindia.com","embeddedmode","Stopped"
"TRVNWTSTPSAN01.namindia.com","EntAppSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","EventLog","Running"
"TRVNWTSTPSAN01.namindia.com","EventSystem","Running"
"TRVNWTSTPSAN01.namindia.com","fdPHost","Running"
"TRVNWTSTPSAN01.namindia.com","FDResPub","Running"
"TRVNWTSTPSAN01.namindia.com","FontCache","Running"
"TRVNWTSTPSAN01.namindia.com","FrameServer","Stopped"
"TRVNWTSTPSAN01.namindia.com","gpsvc","Running"
"TRVNWTSTPSAN01.namindia.com","GraphicsPerfSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","hidserv","Stopped"
"TRVNWTSTPSAN01.namindia.com","HvHost","Stopped"
"TRVNWTSTPSAN01.namindia.com","icssvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","IKEEXT","Running"
"TRVNWTSTPSAN01.namindia.com","InstallService","Stopped"
"TRVNWTSTPSAN01.namindia.com","iphlpsvc","Running"
"TRVNWTSTPSAN01.namindia.com","KeyIso","Running"
"TRVNWTSTPSAN01.namindia.com","KPSSVC","Stopped"
"TRVNWTSTPSAN01.namindia.com","KtmRm","Stopped"
"TRVNWTSTPSAN01.namindia.com","LanmanServer","Running"
"TRVNWTSTPSAN01.namindia.com","LanmanWorkstation","Running"
"TRVNWTSTPSAN01.namindia.com","lfsvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","LicenseManager","Running"
"TRVNWTSTPSAN01.namindia.com","lltdsvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","lmhosts","Running"
"TRVNWTSTPSAN01.namindia.com","LSM","Running"
"TRVNWTSTPSAN01.namindia.com","MapsBroker","Stopped"
"TRVNWTSTPSAN01.namindia.com","mpssvc","Running"
"TRVNWTSTPSAN01.namindia.com","MSDTC","Running"
"TRVNWTSTPSAN01.namindia.com","MSiSCSI","Stopped"
"TRVNWTSTPSAN01.namindia.com","msiserver","Stopped"
"TRVNWTSTPSAN01.namindia.com","NcaSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","NcbService","Running"
"TRVNWTSTPSAN01.namindia.com","Netlogon","Running"
"TRVNWTSTPSAN01.namindia.com","Netman","Stopped"
"TRVNWTSTPSAN01.namindia.com","netprofm","Running"
"TRVNWTSTPSAN01.namindia.com","NetSetupSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","NetTcpPortSharing","Stopped"
"TRVNWTSTPSAN01.namindia.com","NgcCtnrSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","NgcSvc","Stopped"
"TRVNWTSTPSAN01.namindia.com","NlaSvc","Running"
"TRVNWTSTPSAN01.namindia.com","nsi","Running"
"TRVNWTSTPSAN01.namindia.com","PcaSvc","Running"
"TRVNWTSTPSAN01.namindia.com","PerfHost","Stopped"
"TRVNWTSTPSAN01.namindia.com","PhoneSvc","Stopped"
